method,eval_id,gen,depth,learning_rate,l2_leaf_reg,random_strength,bagging_temperature,rmse_mean,rmse_std,r2_mean,r2_std,mae_mean,mae_std,total_fit_time
ga,115,5,8,0.15454647721959652,2.320047619795716,0.045424146267720955,0.544483123690318,1.2173965389516506,0.044169497303828256,0.41291873483498964,0.03558035341527018,0.8781488708290001,0.030428119500211466,6.63047194480896
ga,116,5,8,0.17079786389705578,2.8965246597927927,0.3225435580672036,0.34855428859927035,1.2218258479525408,0.03641825196448256,0.4084476200449195,0.03447686786064812,0.8838410311725621,0.02539467824015494,6.679776906967163
ga,117,5,8,0.1480511118517336,1.4688346867518005,0.3225435580672036,0.12000635230045356,1.220218703906606,0.04216531043646327,0.4099874734737199,0.037547559164267254,0.8817061136932194,0.02855069126832528,6.619228839874268
ga,118,6,8,0.15454647721959652,2.7479058749707526,0.13492620432296099,0.9599752643405697,1.2206587579903838,0.04087176926916863,0.4097378695518306,0.03416392309112548,0.8819505570371765,0.02581964772183769,6.616339445114136
ga,119,6,8,0.18168538041304205,1.6177121975011037,0.4014901193191851,0.34855428859927035,1.219982628068474,0.04393593324680788,0.41041936106241755,0.03545137936357314,0.8796002102045725,0.027946650105833075,6.607620000839233
ga,120,6,8,0.17079786389705578,1.6177121975011037,0.3225435580672036,0.2513222849399515,1.218161637777081,0.044429537068368476,0.4123086944109353,0.033345963260927584,0.8765383483238294,0.030238203762687953,6.606675386428833
ga,121,6,7,0.14876984879783534,2.9173205393922883,0.3225435580672036,0.302991905582163,1.220061725272371,0.0423710422718638,0.4103772331778341,0.03398750033474943,0.8808061870076169,0.025203535302154145,5.843918323516846
ga,122,6,8,0.15454647721959652,2.320047619795716,0.3225435580672036,0.544483123690318,1.2213181671760545,0.045020131116020705,0.409161454447164,0.03570017211283321,0.8807158894937631,0.029681938814327104,6.567998170852661
ga,123,6,7,0.15454647721959652,2.320047619795716,0.045424146267720955,0.544483123690318,1.2216783623156648,0.04230727270300286,0.408806568309684,0.034076314230464894,0.8819991138490048,0.02694549199384165,5.843498468399048
ga,124,6,7,0.1435590619824674,1.9245276870514514,0.3225435580672036,0.3474989258610018,1.2204148544043238,0.04149361025839872,0.4099449459379181,0.03510921057901496,0.8825258407186818,0.026134711254646014,5.848871946334839
ga,125,6,8,0.15454647721959652,1.6177121975011037,0.3225435580672036,0.34855428859927035,1.216658556640849,0.044118263531127855,0.41363092712343796,0.03538198909765814,0.87750121089191,0.031233481043106925,6.650177240371704
ga,126,6,8,0.15454647721959652,2.7479058749707526,0.045424146267720955,0.2513222849399515,1.2141026002999253,0.046080331147975925,0.41620492785008334,0.03465239368908747,0.8740615907165591,0.03158317679295275,6.663955450057983
ga,127,6,8,0.13610487113404368,1.6177121975011037,0.3225435580672036,0.544483123690318,1.2223466634007683,0.0400227612454061,0.4080891697644984,0.033969117489886146,0.8840061440498932,0.027293861913632964,6.622685194015503
ga,128,6,8,0.15454647721959652,2.320047619795716,0.0,0.34855428859927035,1.2153837046752876,0.04318160890087278,0.4149117212955601,0.033866131423468844,0.875898812028644,0.029698226421248575,6.583877325057983
ga,129,6,8,0.15454647721959652,1.4179644849928956,0.045424146267720955,0.34855428859927035,1.217586282469875,0.04243110462520746,0.4126422762658759,0.03591832762010047,0.8783663663249379,0.028899432843569956,6.618178129196167
